"","Height","Spread","Angle","Area","Thick","SLA","N_mass","Seed"
"Agro.rupe",6,10,80,60,0.12,8.1,218.7,0.08
"Alop.alpi",5,20,20,190.9,0.2,15.1,203.85,0.21
"Anth.nipp",15,5,50,280,0.08,18,219.6,0.54
"Heli.sede",0,30,80,600,0.2,10.6,233.2,1.72
"Aven.vers",12,30,60,420,0.14,12.5,156.25,1.17
"Care.rosa",30,20,80,180,0.4,6.5,208.65,1.68
"Care.foet",12,40,45,280,0.14,19,397.1,0.23
"Care.parv",25,10,80,520,0.2,13.7,237.01,0.61
"Care.rupe",9,5,70,75,0.2,8.8,181.28,0.64
"Care.semp",20,20,50,600,0.2,11.5,182.85,0.83
"Fest.laev",20,20,80,300,0.2,4.9,158.76,0.4
"Fest.quad",9,15,80,60,0.15,10.2,176.46,0.28
"Fest.viol",0,45,0,210,0.14,9.2,203.32,0.39
"Kobr.myos",17,25,90,60,0.4,8.1,221.13,0.41
"Luzu.lute",9,7,45,320.3,0.18,11.7,210.6,0.34
"Poa.alpi",8,15,45,160,0.18,10.7,204.37,0.32
"Poa.supi",5,25,15,45,0.08,33.6,403.2,0.24
"Sesl.caer",15,20,80,480,0.2,11.1,165.39,0.5
"Alch.pent",2,20,15,218.1,0.16,23.7,364.98,0.31
"Alch.glau",3,20,0,617.7,0.1,17.8,158.42,0.32
"Alch.vulg",5,50,10,1023.3,0.12,23.2,262.16,0.31
"Andr.brig",1,2,80,22.1,0.36,10,102,1.57
"Ante.carp",4,10,70,149.8,0.2,10.1,179.78,0.12
"Ante.dioi",3,20,60,47.1,0.24,14.3,163.02,0.13
"Arni.mont",0.5,10,0,627.5,0.28,13.8,140.76,1.62
"Aste.alpi",2.5,25,45,183,0.2,14.6,274.48,1.02
"Bart.alpi",10,5,20,102.1,0.2,13.5,217.35,0.21
"Camp.sche",7,3,60,56.7,0.18,25,345,0.08
"Card.alpi",1,2,40,35.3,0.26,25.6,463.36,0.03
"Cera.stri",12,15,40,27,0.2,19,288.8,0.17
"Cera.cera",0.5,40,10,15.7,0.16,25.1,379.01,0.06
"Leuc.alpi",2,10,80,41.9,0.52,15,241.5,0.56
"Cirs.acau",0,50,20,1700,0.5,17.3,330.43,2.72
"Drab.aizo",1,10,70,4,0.1,16.6,250.66,0.19
"Drya.octo",2.5,50,85,81.7,0.1,9.5,221.35,0.91
"Erig.unif",3.5,10,50,97.9,0.3,15.8,251.22,0.19
"Gent.camp",1,5,30,71.2,0.24,19.7,407.79,0.18
"Gent.acau",1,10,10,305.6,0.3,11,170.5,0.36
"Gent.vern",1,20,40,34.4,0.36,9.6,155.52,0.08
"Geum.mont",5,10,15,852.6,0.2,11.3,223.74,1.67
"Omal.supi",1.5,10,70,46.8,0.2,19.5,329.55,0.11
"Andr.vita",1,50,60,6,0.4,12.5,228.75,4.36
"Hier.pili",5,5,30,201.6,0.38,13.3,223.44,0.11
"Homo.alpi",2.5,10,0,408.9,0.7,9,182.7,0.67
"Leon.pyre",0.5,10,5,121.4,0.16,19,302.1,0.45
"Ligu.muto",4,15,20,259.8,0.16,17.9,297.14,1.18
"Lloy.sero",10,2,80,70,0.7,7.3,106.58,0.1
"Minu.sedo",0.3,50,60,3,0.24,10.7,136.96,0.1
"Minu.vern",5,10,70,5,0.22,15.3,276.93,0.14
"Phyt.orbi",15,3,80,362.8,0.16,20,306,0.18
"Plan.alpi",0.5,10,20,40,0.22,11.9,242.76,0.33
"Poly.vivi",9,3,60,243.1,0.22,13.1,353.7,3.92
"Pote.aure",3,20,15,264.5,0.1,17.5,253.75,0.24
"Pote.cran",5,20,20,541,0.1,15.5,272.8,0.38
"Pote.gran",5,10,50,417.3,0.12,12.5,253.75,0.26
"Puls.vern",5,10,10,477.5,0.36,10.4,218.4,2.53
"Ranu.kuep",7.5,20,45,215.7,0.2,16,294.4,1.55
"Sagi.glab",0.5,30,75,2.5,0.2,15,387,0.01
"Sali.herb",1,50,60,82.5,0.18,14.7,367.5,0.05
"Sali.reti",0.5,100,30,341.5,0.26,10.3,283.25,0.03
"Sali.retu",3,100,40,129.9,0.24,11.2,302.4,0.06
"Sali.serp",0.5,100,20,14.6,0.12,9.3,224.13,0.07
"Saxi.pani",1.5,10,75,46.2,0.7,5.1,101.49,0.04
"Sedu.alpe",2.5,2,80,7.5,1.4,10.7,136.96,0.03
"Semp.mont",3,4,45,220.7,1.36,4.9,92.61,0.01
"Sene.inca",3,10,70,109.1,0.36,10.9,190.75,0.06
"Sibb.proc",1.5,20,20,146.5,0.14,19.9,427.85,0.46
"Sile.acau",1,50,70,13.3,0.26,10.6,163.24,0.4
"Thym.poly",0.5,50,20,21.2,0.4,10.6,214.12,0.13
"Vero.alpi",4,20,30,76.3,0.28,21.6,347.76,0.06
"Vero.alli",1,20,40,124.2,0.24,9.7,173.63,0.11
"Vero.bell",1.5,10,10,103.7,0.4,6.4,134.4,0.13
"Myos.alpe",9,5,80,62.1,0.16,16.2,228.42,0.52
"Tara.alpi",5,30,10,1220.6,0.1,35.6,430.76,0.08
"Scab.luci",7,30,40,751.6,0.3,17.5,231,1.98
"Anth.alpe",15,30,80,140.1,0.4,11.6,298.12,4.77
"Oxyt.camp",12,25,70,281.9,0.3,14,382.2,1.76
"Oxyt.lapp",2.5,25,20,281.9,0.24,14.1,355.32,1.53
"Lotu.alpi",2,20,70,26,0.16,20,440,1.28
"Trif.alpi",2,20,35,157.6,0.1,20.4,403.92,1.72
"Trif.badi",8,20,20,431.4,0.16,16,342.4,1.23
"Trif.thal",1,50,10,68.6,0.1,14,317.8,0.74
